exchange,tradingsymbol,quantity,transaction_type,product,order_type,price,validity
NFO,BAJFINANCE26JUN1000CE,750,SELL,NRML,LIMIT,0,DAY
NFO,TATACONSUM26JUN1300CE,550,SELL,NRML,LIMIT,0,DAY
NFO,PGEL26JUN550CE,1800,SELL,NRML,LIMIT,0,DAY
NFO,TITAN26JUN4500CE,175,SELL,NRML,LIMIT,0,DAY
NFO,ETERNAL26JUN280CE,4850,SELL,NRML,LIMIT,0,DAY
NFO,UNITDSPR26JUN1400CE,700,SELL,NRML,LIMIT,0,DAY
NFO,HAVELLS26JUN1300CE,500,SELL,NRML,LIMIT,0,DAY
NFO,NAUKRI26JUN1100CE,375,SELL,NRML,LIMIT,0,DAY
NFO,PFC26JUN480CE,2600,SELL,NRML,LIMIT,0,DAY
NFO,CAMS26JUN900CE,400,SELL,NRML,LIMIT,0,DAY
NFO,MAZDOCK26JUN2800CE,300,SELL,NRML,LIMIT,0,DAY
