exchange,tradingsymbol,quantity,transaction_type,product,order_type,price,validity
NFO,BAJFINANCE30JUN1000CE,750,SELL,NRML,LIMIT,0,DAY
NFO,TATACONS30JUN1300CE,550,SELL,NRML,LIMIT,0,DAY
NFO,PGEL30JUN550CE,1800,SELL,NRML,LIMIT,0,DAY
NFO,TITAN30JUN4500CE,175,SELL,NRML,LIMIT,0,DAY
NFO,ETERNAL30JUN280CE,4900,SELL,NRML,LIMIT,0,DAY
NFO,UNITDSPR30JUN1400CE,700,SELL,NRML,LIMIT,0,DAY
NFO,HAVELLS30JUN1300CE,500,SELL,NRML,LIMIT,0,DAY
NFO,NAUKRI30JUN1100CE,375,SELL,NRML,LIMIT,0,DAY
NFO,PFC30JUN480CE,2600,SELL,NRML,LIMIT,0,DAY
NFO,CAMS30JUN900CE,400,SELL,NRML,LIMIT,0,DAY
NFO,MAZDOCK30JUN2800CE,300,SELL,NRML,LIMIT,0,DAY
