exchange,tradingsymbol,quantity,transaction_type,product,order_type,price,validity
NFO,HAVELLS26JUN1290CE,500,SELL,NRML,LIMIT,62.6,DAY
NFO,ETERNAL26JUN272.5CE,2450,SELL,NRML,LIMIT,3.2,DAY
NFO,MAZDOCK26JUN2660CE,300,SELL,NRML,LIMIT,33.9,DAY
NFO,NAUKRI26JUN1090CE,375,SELL,NRML,LIMIT,9.0,DAY
NFO,PGEL26JUN530CE,900,SELL,NRML,LIMIT,9.7,DAY
NFO,PFC26JUN465CE,1300,SELL,NRML,LIMIT,2.25,DAY
NFO,TITAN26JUN4450CE,175,SELL,NRML,LIMIT,25.15,DAY
NFO,UNITDSPR26JUN1380CE,350,SELL,NRML,LIMIT,4.2,DAY
NFO,CAMS26JUN860CE,400,SELL,NRML,LIMIT,2.8,DAY
NFO,BAJFINANCE26JUN990CE,750,SELL,NRML,LIMIT,2.75,DAY
NFO,TATACONSUM26JUN1270CE,550,SELL,NRML,LIMIT,2.75,DAY
