Symbol,Name,Lot Size,Underlying,Expiry,Call 10% OTM Strike,Call LTP,Call Premium (Lot),Put 10% OTM Strike,Put LTP,Put Premium (Lot)
PGEL,PG Electroplast Ltd,700,532.85,30-Sep-2025,600.0,7.1,4970.0,460.0,3.85,2695.0
ETERNAL,Eternal Ltd,2450,315.6,30-Sep-2025,350.0,2.05,5022.5,280.0,1.65,4042.5
BAJFINANCE,Bajaj Finance Ltd,750,879.0,30-Sep-2025,970.0,2.35,1762.5,790.0,1.5,1125.0
UNITDSPR,United Spirits Ltd,375,1311.0,30-Sep-2025,1460.0,2.0,750.0,1160.0,1.7,637.5
PFC,Power Finance Corporation Ltd,1300,379.7,30-Sep-2025,420.0,1.8,2340.0,340.0,1.6,2080.0
MAZDOCK,Mazagon Dock Shipbuilders Ltd,175,2605.0,30-Sep-2025,2900.0,27.55,4821.25,2300.0,0.0,
TATACONSUM,Tata Consumer Products Ltd,550,1062.0,30-Sep-2025,1170.0,2.45,1347.5,950.0,2.0,1100.0
TITAN,Titan,350,3620.2,30-Sep-2025,4000.0,4.0,1400.0,3250.0,0.0,
NTPC,NTPC Ltd,1500,328.0,30-Sep-2025,365.0,0.4,600.0,295.0,0.75,1125.0
NAUKRI,Info edge,375,1356.5,30-Sep-2025,1500.0,8.0,3000.0,1220.0,5.5,2062.5
HAVELLS,HAVELLS Ltd ,500,1525.5,30-Sep-2025,1680.0,3.55,1775.0,1360.0,2.75,1375.0
CYIENT,CYIENT Ltd ,425,1168.0,30-Sep-2025,1300.0,6.3,2677.5,1040.0,5.5,2337.5
