Symbol,Underlying,Expiry,Side,Strike,LTP,LotSize,Premium,Chg_1w,Chg_1m,Chg_2m
PFC,382.0,28-Aug-2025,CALL (OTM~9%),420.0,0.05,1300,65.0,-4.62,-7.03,-9.44
PFC,382.0,28-Aug-2025,PUT  (OTM~9%),340.0,0.05,1300,65.0,,,
PFC,382.0,30-Sep-2025,CALL (OTM~9%),420.0,2.1,1300,2730.0,-4.62,-7.03,-9.44
PFC,382.0,30-Sep-2025,PUT  (OTM~9%),340.0,1.6,1300,2080.0,,,
PFC,382.0,28-Oct-2025,CALL (OTM~9%),420.0,4.85,1300,6304.999999999999,-4.62,-7.03,-9.44
PFC,382.0,28-Oct-2025,PUT  (OTM~9%),340.0,2.8,1300,3639.9999999999995,,,
PFC,382.0,28-Aug-2025,CALL (OTM~8%),420.0,0.05,1300,65.0,-4.62,-7.03,-9.44
PFC,382.0,28-Aug-2025,PUT  (OTM~8%),350.0,0.05,1300,65.0,,,
PFC,382.0,30-Sep-2025,CALL (OTM~8%),420.0,2.1,1300,2730.0,-4.62,-7.03,-9.44
PFC,382.0,30-Sep-2025,PUT  (OTM~8%),350.0,2.3,1300,2989.9999999999995,,,
PFC,382.0,28-Oct-2025,CALL (OTM~8%),420.0,4.85,1300,6304.999999999999,-4.62,-7.03,-9.44
PFC,382.0,28-Oct-2025,PUT  (OTM~8%),340.0,2.8,1300,3639.9999999999995,,,
PFC,382.0,28-Aug-2025,CALL (OTM~7%),410.0,0.05,1300,65.0,-4.62,-7.03,-9.44
PFC,382.0,28-Aug-2025,PUT  (OTM~7%),350.0,0.05,1300,65.0,,,
PFC,382.0,30-Sep-2025,CALL (OTM~7%),410.0,3.45,1300,4485.0,-4.62,-7.03,-9.44
PFC,382.0,30-Sep-2025,PUT  (OTM~7%),350.0,2.3,1300,2989.9999999999995,,,
PFC,382.0,28-Oct-2025,CALL (OTM~7%),420.0,4.85,1300,6304.999999999999,-4.62,-7.03,-9.44
PFC,382.0,28-Oct-2025,PUT  (OTM~7%),340.0,2.8,1300,3639.9999999999995,,,
TATACONSUM,1060.2,28-Aug-2025,CALL (OTM~7%),1140.0,0.05,550,27.5,-2.36,0.08,-5.51
TATACONSUM,1060.2,28-Aug-2025,PUT  (OTM~7%),980.0,0.1,550,55.0,,,
TATACONSUM,1060.2,30-Sep-2025,CALL (OTM~7%),1140.0,6.15,550,3382.5,-2.36,0.08,-5.51
TATACONSUM,1060.2,30-Sep-2025,PUT  (OTM~7%),980.0,3.5,550,1925.0,,,
TATACONSUM,1060.2,28-Oct-2025,CALL (OTM~7%),1140.0,0.0,550,0.0,-2.36,0.08,-5.51
TATACONSUM,1060.2,28-Oct-2025,PUT  (OTM~7%),1000.0,0.0,550,0.0,,,
TATACONSUM,1060.2,28-Aug-2025,CALL (OTM~6%),1130.0,0.05,550,27.5,-2.36,0.08,-5.51
TATACONSUM,1060.2,28-Aug-2025,PUT  (OTM~6%),990.0,0.05,550,27.5,,,
TATACONSUM,1060.2,30-Sep-2025,CALL (OTM~6%),1130.0,7.25,550,3987.5,-2.36,0.08,-5.51
TATACONSUM,1060.2,30-Sep-2025,PUT  (OTM~6%),990.0,4.65,550,2557.5,,,
TATACONSUM,1060.2,28-Oct-2025,CALL (OTM~6%),1140.0,0.0,550,0.0,-2.36,0.08,-5.51
TATACONSUM,1060.2,28-Oct-2025,PUT  (OTM~6%),1000.0,0.0,550,0.0,,,
TATACONSUM,1060.2,28-Aug-2025,CALL (OTM~5%),1120.0,0.05,550,27.5,-2.36,0.08,-5.51
TATACONSUM,1060.2,28-Aug-2025,PUT  (OTM~5%),1000.0,0.05,550,27.5,,,
TATACONSUM,1060.2,30-Sep-2025,CALL (OTM~5%),1120.0,8.9,550,4895.0,-2.36,0.08,-5.51
TATACONSUM,1060.2,30-Sep-2025,PUT  (OTM~5%),1000.0,5.75,550,3162.5,,,
TATACONSUM,1060.2,28-Oct-2025,CALL (OTM~5%),1120.0,0.0,550,0.0,-2.36,0.08,-5.51
TATACONSUM,1060.2,28-Oct-2025,PUT  (OTM~5%),1000.0,0.0,550,0.0,,,
ETERNAL,315.95,28-Aug-2025,CALL (OTM~10%),350.0,0.05,2450,122.5,-1.96,2.92,20.48
ETERNAL,315.95,28-Aug-2025,PUT  (OTM~10%),280.0,0.05,2450,122.5,,,
ETERNAL,315.95,30-Sep-2025,CALL (OTM~10%),350.0,2.25,2450,5512.5,-1.96,2.92,20.48
ETERNAL,315.95,30-Sep-2025,PUT  (OTM~10%),280.0,2.3,2450,5635.0,,,
ETERNAL,315.95,28-Oct-2025,CALL (OTM~10%),350.0,7.1,2450,17395.0,-1.96,2.92,20.48
ETERNAL,315.95,28-Oct-2025,PUT  (OTM~10%),280.0,0.0,2450,0.0,,,
ETERNAL,315.95,28-Aug-2025,CALL (OTM~9%),345.0,0.05,2450,122.5,-1.96,2.92,20.48
ETERNAL,315.95,28-Aug-2025,PUT  (OTM~9%),285.0,0.05,2450,122.5,,,
ETERNAL,315.95,30-Sep-2025,CALL (OTM~9%),345.0,3.1,2450,7595.0,-1.96,2.92,20.48
ETERNAL,315.95,30-Sep-2025,PUT  (OTM~9%),285.0,2.85,2450,6982.5,,,
ETERNAL,315.95,28-Oct-2025,CALL (OTM~9%),350.0,7.1,2450,17395.0,-1.96,2.92,20.48
ETERNAL,315.95,28-Oct-2025,PUT  (OTM~9%),280.0,0.0,2450,0.0,,,
ETERNAL,315.95,28-Aug-2025,CALL (OTM~8%),345.0,0.05,2450,122.5,-1.96,2.92,20.48
ETERNAL,315.95,28-Aug-2025,PUT  (OTM~8%),290.0,0.05,2450,122.5,,,
ETERNAL,315.95,30-Sep-2025,CALL (OTM~8%),345.0,3.1,2450,7595.0,-1.96,2.92,20.48
ETERNAL,315.95,30-Sep-2025,PUT  (OTM~8%),290.0,3.8,2450,9310.0,,,
ETERNAL,315.95,28-Oct-2025,CALL (OTM~8%),350.0,7.1,2450,17395.0,-1.96,2.92,20.48
ETERNAL,315.95,28-Oct-2025,PUT  (OTM~8%),290.0,0.0,2450,0.0,,,
MAZDOCK,2628.0,28-Aug-2025,CALL (OTM~10%),2900.0,0.05,175,8.75,-5.05,-3.39,-17.2
MAZDOCK,2628.0,28-Aug-2025,PUT  (OTM~10%),2300.0,0.05,175,8.75,,,
MAZDOCK,2628.0,30-Sep-2025,CALL (OTM~10%),2900.0,36.3,175,6352.499999999999,-5.05,-3.39,-17.2
MAZDOCK,2628.0,30-Sep-2025,PUT  (OTM~10%),2300.0,0.0,175,0.0,,,
MAZDOCK,2628.0,28-Oct-2025,CALL (OTM~10%),3000.0,0.0,175,0.0,-5.05,-3.39,-17.2
MAZDOCK,2628.0,28-Oct-2025,PUT  (OTM~10%),2400.0,,175,0.0,,,
MAZDOCK,2628.0,28-Aug-2025,CALL (OTM~9%),2900.0,0.05,175,8.75,-5.05,-3.39,-17.2
MAZDOCK,2628.0,28-Aug-2025,PUT  (OTM~9%),2300.0,0.05,175,8.75,,,
MAZDOCK,2628.0,30-Sep-2025,CALL (OTM~9%),2900.0,36.3,175,6352.499999999999,-5.05,-3.39,-17.2
MAZDOCK,2628.0,30-Sep-2025,PUT  (OTM~9%),2300.0,0.0,175,0.0,,,
MAZDOCK,2628.0,28-Oct-2025,CALL (OTM~9%),3000.0,0.0,175,0.0,-5.05,-3.39,-17.2
MAZDOCK,2628.0,28-Oct-2025,PUT  (OTM~9%),2400.0,,175,0.0,,,
MAZDOCK,2628.0,28-Aug-2025,CALL (OTM~8%),2900.0,0.05,175,8.75,-5.05,-3.39,-17.2
MAZDOCK,2628.0,28-Aug-2025,PUT  (OTM~8%),2400.0,0.05,175,8.75,,,
MAZDOCK,2628.0,30-Sep-2025,CALL (OTM~8%),2900.0,36.3,175,6352.499999999999,-5.05,-3.39,-17.2
MAZDOCK,2628.0,30-Sep-2025,PUT  (OTM~8%),2400.0,32.35,175,5661.25,,,
MAZDOCK,2628.0,28-Oct-2025,CALL (OTM~8%),3000.0,0.0,175,0.0,-5.05,-3.39,-17.2
MAZDOCK,2628.0,28-Oct-2025,PUT  (OTM~8%),2400.0,,175,0.0,,,
