Symbol,Underlying,Expiry,Side,Strike,LTP,LotSize,Premium
PFC,415.3,28-Aug-2025,CALL (OTM~9%),460.0,0.6,1300,780.0
PFC,415.3,28-Aug-2025,PUT  (OTM~9%),370.0,0.65,1300,845.0
PFC,415.3,30-Sep-2025,CALL (OTM~9%),460.0,3.15,1300,4095.0
PFC,415.3,30-Sep-2025,PUT  (OTM~9%),370.0,2.75,1300,3575.0
PFC,415.3,28-Oct-2025,CALL (OTM~9%),460.0,0.0,1300,0.0
PFC,415.3,28-Oct-2025,PUT  (OTM~9%),380.0,0.0,1300,0.0
PFC,415.3,28-Aug-2025,CALL (OTM~8%),450.0,1.0,1300,1300.0
PFC,415.3,28-Aug-2025,PUT  (OTM~8%),380.0,1.15,1300,1494.9999999999998
PFC,415.3,30-Sep-2025,CALL (OTM~8%),450.0,4.5,1300,5850.0
PFC,415.3,30-Sep-2025,PUT  (OTM~8%),380.0,3.95,1300,5135.0
PFC,415.3,28-Oct-2025,CALL (OTM~8%),460.0,0.0,1300,0.0
PFC,415.3,28-Oct-2025,PUT  (OTM~8%),380.0,0.0,1300,0.0
PFC,415.3,28-Aug-2025,CALL (OTM~7%),450.0,1.0,1300,1300.0
PFC,415.3,28-Aug-2025,PUT  (OTM~7%),380.0,1.15,1300,1494.9999999999998
PFC,415.3,30-Sep-2025,CALL (OTM~7%),450.0,4.5,1300,5850.0
PFC,415.3,30-Sep-2025,PUT  (OTM~7%),380.0,3.95,1300,5135.0
PFC,415.3,28-Oct-2025,CALL (OTM~7%),460.0,0.0,1300,0.0
PFC,415.3,28-Oct-2025,PUT  (OTM~7%),380.0,0.0,1300,0.0
TATACONSUM,1047.7,28-Aug-2025,CALL (OTM~7%),1130.0,1.35,550,742.5
TATACONSUM,1047.7,28-Aug-2025,PUT  (OTM~7%),970.0,1.05,550,577.5
TATACONSUM,1047.7,30-Sep-2025,CALL (OTM~7%),1130.0,0.0,550,0.0
TATACONSUM,1047.7,30-Sep-2025,PUT  (OTM~7%),970.0,0.0,550,0.0
TATACONSUM,1047.7,28-Oct-2025,CALL (OTM~7%),1180.0,0.0,550,0.0
TATACONSUM,1047.7,28-Oct-2025,PUT  (OTM~7%),1180.0,,550,0.0
TATACONSUM,1047.7,28-Aug-2025,CALL (OTM~6%),1120.0,1.85,550,1017.5
TATACONSUM,1047.7,28-Aug-2025,PUT  (OTM~6%),980.0,2.0,550,1100.0
TATACONSUM,1047.7,30-Sep-2025,CALL (OTM~6%),1120.0,0.0,550,0.0
TATACONSUM,1047.7,30-Sep-2025,PUT  (OTM~6%),980.0,9.0,550,4950.0
TATACONSUM,1047.7,28-Oct-2025,CALL (OTM~6%),1180.0,0.0,550,0.0
TATACONSUM,1047.7,28-Oct-2025,PUT  (OTM~6%),1180.0,,550,0.0
TATACONSUM,1047.7,28-Aug-2025,CALL (OTM~5%),1110.0,2.4,550,1320.0
TATACONSUM,1047.7,28-Aug-2025,PUT  (OTM~5%),990.0,2.8,550,1540.0
TATACONSUM,1047.7,30-Sep-2025,CALL (OTM~5%),1110.0,0.0,550,0.0
TATACONSUM,1047.7,30-Sep-2025,PUT  (OTM~5%),990.0,0.0,550,0.0
TATACONSUM,1047.7,28-Oct-2025,CALL (OTM~5%),1180.0,0.0,550,0.0
TATACONSUM,1047.7,28-Oct-2025,PUT  (OTM~5%),1180.0,,550,0.0
