Symbol,Underlying,Expiry,Side,Strike,LTP,LotSize,Premium
PFC,415.30,30-Sep-2025,CALL (OTM~8%),450.0,4.50,1300,5850.0
PFC,415.30,30-Sep-2025,CALL (OTM~7%),450.0,4.50,1300,5850.0
PFC,415.30,30-Sep-2025,PUT  (OTM~8%),380.0,3.95,1300,5135.0
PFC,415.30,30-Sep-2025,PUT  (OTM~7%),380.0,3.95,1300,5135.0
TATACONSUM,1047.70,30-Sep-2025,PUT  (OTM~6%),980.0,9.00,550,4950.0
PFC,415.30,30-Sep-2025,CALL (OTM~9%),460.0,3.15,1300,4095.0
PFC,415.30,30-Sep-2025,PUT  (OTM~9%),370.0,2.75,1300,3575.0
TATACONSUM,1047.70,28-Aug-2025,PUT  (OTM~5%),990.0,2.80,550,1540.0
PFC,415.30,28-Aug-2025,PUT  (OTM~8%),380.0,1.15,1300,1495.0
PFC,415.30,28-Aug-2025,PUT  (OTM~7%),380.0,1.15,1300,1495.0
TATACONSUM,1047.70,28-Aug-2025,CALL (OTM~5%),1110.0,2.40,550,1320.0
PFC,415.30,28-Aug-2025,CALL (OTM~8%),450.0,1.00,1300,1300.0
PFC,415.30,28-Aug-2025,CALL (OTM~7%),450.0,1.00,1300,1300.0
TATACONSUM,1047.70,28-Aug-2025,PUT  (OTM~6%),980.0,2.00,550,1100.0
TATACONSUM,1047.70,28-Aug-2025,CALL (OTM~6%),1120.0,1.85,550,1017.5
